Fecha,Juego,Ingresos_Brutos,Ganancia_Neta
2023-02-15,Tragamonedas,3422.45,2326.98
2023-03-05,Tragamonedas,2787.68,4842.13
2023-05-10,Poker,8050.48,1648.44
2023-11-06,Poker,9183.27,4271.49
2023-12-29,Ruleta,4332.09,6376.23
2023-07-12,Tragamonedas,7761.51,2581.18
2023-11-03,Blackjack,9072.96,4856.65
2023-06-30,Poker,8615.12,1721.37
2023-10-19,Blackjack,2645.32,4561.17
2023-10-09,Poker,9606.63,2686.93
2023-01-29,Ruleta,4390.09,1872.85
2023-05-29,Tragamonedas,4053.17,2535.68
2023-09-24,Poker,1561.88,1662.47
2023-10-23,Tragamonedas,5375.56,6362.45
2023-01-11,Blackjack,1981.12,3081.71
2023-06-13,Ruleta,3236.86,2094.32
2023-04-23,Tragamonedas,3852.48,3414.65
2023-07-06,Ruleta,8279.44,2583.49
2023-10-22,Tragamonedas,8879.4,5338.73
2023-08-20,Blackjack,3722.2,6812.93
2023-08-15,Blackjack,8728.28,3347.22
2023-11-06,Ruleta,8715.08,6096.72
2023-04-08,Blackjack,7881.86,4178.11
2023-02-24,Poker,2320.26,1522.03
2023-04-21,Tragamonedas,7212.91,4989.05
2023-06-01,Blackjack,9505.22,3837.32
2023-09-03,Poker,7142.86,4728.94
2023-03-10,Ruleta,3984.55,6282.97
2023-11-08,Poker,5505.21,3362.82
2023-10-16,Ruleta,6811.53,6357.65
2023-09-07,Ruleta,5595.13,5379.35
2023-02-05,Tragamonedas,2079.58,3675.93
2023-08-27,Tragamonedas,3808.58,4420.94
2023-05-28,Poker,8221.56,2616.28
2023-08-15,Tragamonedas,8752.76,6893.38
2023-09-01,Tragamonedas,2235.7,4837.78
2023-12-03,Tragamonedas,9571.48,785.0
2023-12-31,Poker,3959.4,2623.04
2023-07-20,Blackjack,6960.82,4551.54
2023-06-03,Tragamonedas,7766.43,866.17
2023-03-14,Tragamonedas,8307.52,655.25
2023-07-20,Poker,9511.75,3425.16
2023-10-23,Blackjack,3816.28,2662.49
2023-01-17,Tragamonedas,8726.56,3348.94
2023-05-09,Ruleta,2185.18,2207.51
2023-08-05,Poker,7345.37,1570.67
2023-03-02,Tragamonedas,7677.8,4979.43
2023-04-14,Tragamonedas,7099.51,3844.71
2023-02-11,Ruleta,3270.83,1801.0
2023-01-25,Ruleta,8857.39,2577.33
2023-02-08,Poker,2519.73,4346.75
2023-10-18,Poker,1482.71,969.49
2023-05-11,Ruleta,7457.18,1458.44
2023-08-17,Poker,5279.28,976.1
2023-04-18,Ruleta,8641.88,5780.06
2023-06-21,Tragamonedas,4450.57,5390.66
2023-04-12,Ruleta,2514.51,5396.53
2023-12-20,Ruleta,8527.98,5156.11
2023-01-12,Blackjack,5940.19,4851.01
2023-10-02,Ruleta,2702.76,3600.45
2023-04-11,Ruleta,7483.46,4674.81
2023-02-13,Blackjack,5600.02,749.35
2023-11-01,Poker,6438.82,4539.52
2023-01-17,Blackjack,5148.09,5556.21
2023-11-26,Tragamonedas,8458.38,3752.33
2023-02-26,Blackjack,8466.06,2823.84
2023-11-07,Tragamonedas,7384.5,2303.27
2023-10-30,Poker,1948.61,4678.21
2023-01-12,Blackjack,8549.68,5003.21
2023-11-14,Blackjack,7039.12,6161.29
2023-03-21,Poker,7273.22,2725.17
2023-08-04,Tragamonedas,4266.85,5503.52
2023-12-05,Blackjack,8913.52,4148.81
2023-09-21,Tragamonedas,7528.34,6238.44
2023-05-29,Blackjack,2013.31,3930.78
2023-03-22,Ruleta,4670.0,3864.59
2023-08-03,Blackjack,8977.42,4256.2
2023-07-17,Poker,1424.77,5370.55
2023-07-19,Poker,9652.75,6770.49
2023-01-25,Tragamonedas,7112.46,978.16
2023-03-30,Blackjack,6682.38,847.32
2023-09-25,Tragamonedas,3435.03,6594.08
2023-05-23,Tragamonedas,3239.13,3944.19
2023-02-28,Ruleta,9478.52,4496.87
2023-12-31,Ruleta,3684.45,3635.75
2023-01-26,Poker,7979.55,1108.77
2023-02-16,Tragamonedas,4538.1,5492.58
2023-10-15,Poker,2253.29,5356.96
2023-09-23,Blackjack,1096.44,2526.07
2023-01-16,Tragamonedas,5898.32,2490.56
2023-07-18,Tragamonedas,9782.01,5945.97
2023-10-09,Blackjack,4322.23,970.32
2023-03-27,Blackjack,4214.73,6227.18
2023-09-07,Poker,4096.82,2168.3
2023-09-27,Poker,5684.89,4354.4
2023-12-01,Blackjack,4965.98,6583.96
2023-04-27,Poker,8919.23,4907.8
2023-01-07,Blackjack,5549.69,3193.79
2023-05-17,Tragamonedas,5569.82,4981.97
2023-06-25,Tragamonedas,2245.34,2735.87
2023-11-24,Ruleta,9844.66,2302.18
2023-11-11,Tragamonedas,3249.76,6978.44
2023-08-03,Blackjack,1660.28,5380.14
2023-03-23,Poker,6968.32,4690.68
2023-08-11,Ruleta,6358.3,2809.38
2023-04-13,Poker,4736.31,819.55
2023-09-30,Blackjack,4799.73,701.87
2023-01-14,Tragamonedas,8065.58,4102.18
2023-06-08,Ruleta,2761.41,5453.21
2023-06-01,Blackjack,8382.28,3992.96
2023-04-18,Ruleta,6838.72,5965.1
2023-07-07,Ruleta,4770.73,717.27
2023-10-28,Tragamonedas,5122.26,2883.89
2023-04-08,Blackjack,3309.82,2040.96
2023-05-11,Poker,7769.03,3407.27
2023-10-20,Ruleta,5615.87,970.45
2023-06-20,Ruleta,3887.69,6701.86
2023-07-02,Poker,6364.45,1951.16
2023-12-30,Blackjack,9961.61,6495.0
2023-02-08,Ruleta,4917.36,3268.31
2023-01-15,Ruleta,9286.22,6905.91
2023-01-04,Ruleta,4105.15,4101.38
2023-12-15,Blackjack,1492.59,6550.41
2023-07-29,Blackjack,2838.18,534.77
2023-06-10,Poker,4768.26,5363.55
2023-01-16,Blackjack,2976.71,6369.83
2023-04-18,Blackjack,1002.04,1408.18
2023-11-07,Tragamonedas,9235.01,1124.82
2023-08-15,Poker,8594.91,3259.72
2023-06-19,Ruleta,7680.63,6568.91
2023-02-03,Blackjack,2510.33,4025.51
2023-09-08,Ruleta,2083.27,3928.47
2023-09-04,Ruleta,1608.44,1417.32
2023-09-26,Tragamonedas,7516.26,505.13
2023-05-21,Blackjack,9359.27,5765.91
2023-10-01,Poker,4874.82,1069.23
2023-04-06,Blackjack,2072.27,4620.02
2023-08-15,Ruleta,5611.54,6445.01
2023-02-08,Poker,4139.49,1856.24
2023-10-29,Blackjack,4373.42,4824.27
2023-01-29,Ruleta,6591.98,1011.54
2023-11-14,Ruleta,7468.46,4424.41
2023-09-02,Tragamonedas,1995.43,1565.56
2023-08-24,Tragamonedas,1320.31,5283.7
2023-07-04,Tragamonedas,9948.97,2458.0
2023-09-29,Ruleta,3094.56,3512.04
2023-08-24,Blackjack,1484.47,4396.3
2023-08-27,Tragamonedas,2708.88,1613.28
2023-09-23,Blackjack,1350.62,5320.65
2023-12-25,Tragamonedas,4526.3,2467.16
2023-12-06,Poker,8221.62,4805.42
2023-03-06,Poker,4071.2,1528.84
2023-06-26,Tragamonedas,4997.65,4972.76
2023-01-03,Ruleta,7080.28,1333.22
2023-05-22,Tragamonedas,5580.05,3264.82
2023-06-07,Tragamonedas,8753.01,2106.84
2023-11-20,Ruleta,8794.32,5364.44
2023-05-26,Poker,1089.2,2203.23
2023-10-20,Blackjack,8002.42,6231.16
2023-06-02,Tragamonedas,5146.6,6296.83
2023-07-12,Ruleta,9899.56,1776.87
2023-03-14,Tragamonedas,5349.09,4490.0
2023-11-01,Ruleta,9882.06,1070.16
2023-12-10,Blackjack,7791.12,3044.99
2023-05-20,Blackjack,3237.44,5136.59
2023-07-06,Poker,5845.55,4786.25
2023-10-20,Ruleta,9929.22,4560.55
2023-03-02,Ruleta,8717.78,2336.52
2023-07-17,Poker,1876.3,2957.16
2023-10-22,Poker,7357.35,1169.15
2023-11-15,Ruleta,4110.22,5173.65
2023-10-29,Poker,1062.84,3775.28
2023-12-10,Blackjack,4631.33,5106.98
2023-01-11,Tragamonedas,3112.79,2118.13
2023-03-03,Blackjack,8369.82,2608.85
2023-11-29,Poker,4035.98,2672.4
2023-08-14,Ruleta,8447.71,667.33
2023-06-02,Ruleta,1005.38,2716.81
2023-07-18,Blackjack,3770.37,5721.48
2023-02-21,Ruleta,3170.49,6332.44
2023-09-17,Poker,3102.11,3868.42
2023-02-28,Blackjack,1613.68,3460.76
2023-03-13,Ruleta,2684.12,700.36
2023-05-28,Tragamonedas,5999.95,6214.83
2023-12-15,Tragamonedas,3622.25,584.57
2023-03-04,Poker,4756.55,6640.88
2023-11-06,Ruleta,4391.8,3679.91
2023-08-31,Poker,8883.14,2722.57
2023-11-26,Blackjack,9147.69,6507.42
2023-04-17,Tragamonedas,5436.61,658.54
2023-08-14,Blackjack,3971.4,4279.26
2023-11-09,Ruleta,1961.21,4068.06
2023-08-06,Poker,9580.63,1925.58
2023-08-29,Poker,1542.04,3287.77
2023-09-16,Poker,3678.85,4739.72
2023-09-19,Blackjack,3682.6,5226.35
2023-01-05,Tragamonedas,3883.61,504.66
2023-09-18,Blackjack,2478.58,6589.55
2023-02-23,Blackjack,8048.45,1569.41
2023-02-16,Ruleta,2102.48,2018.27
2023-08-03,Ruleta,6714.16,2212.58
2023-06-26,Ruleta,2114.61,745.83
2023-01-09,Tragamonedas,1634.82,1299.84
2023-04-09,Tragamonedas,9184.87,6911.27
2023-01-20,Ruleta,2711.16,2548.91
2023-08-29,Ruleta,8391.25,1249.46
2023-03-02,Tragamonedas,5901.68,1195.44
2023-06-27,Poker,1700.71,5176.49
2023-12-04,Tragamonedas,9599.03,6054.7
2023-03-03,Tragamonedas,3222.65,2170.19
2023-05-25,Tragamonedas,8736.81,635.91
2023-08-04,Ruleta,2519.29,1950.09
2023-01-03,Poker,8685.49,867.35
2023-06-09,Tragamonedas,1119.06,1172.07
2023-08-15,Ruleta,5606.02,3304.8
2023-09-26,Blackjack,7924.98,1994.47
2023-04-30,Blackjack,9413.16,3853.65
2023-03-30,Tragamonedas,9182.82,2147.71
2023-11-25,Blackjack,8376.62,6613.49
2023-03-09,Poker,8993.72,6388.64
2023-12-23,Blackjack,2792.98,4184.24
2023-04-08,Blackjack,3557.66,2803.76
2023-09-24,Poker,3600.72,2977.45
2023-04-15,Tragamonedas,4393.49,3177.04
2023-11-19,Tragamonedas,4539.89,5229.27
2023-05-03,Poker,5901.0,3435.65
2023-01-29,Poker,2438.92,6068.74
2023-05-17,Poker,7221.22,6636.62
2023-07-14,Blackjack,2508.1,2683.65
2023-08-14,Poker,3792.78,4144.51
2023-11-28,Ruleta,5530.11,1117.87
2023-06-19,Blackjack,8167.97,1803.05
2023-01-09,Tragamonedas,7655.22,3187.53
2023-02-09,Tragamonedas,6809.81,1840.32
2023-01-25,Tragamonedas,2401.96,6197.64
2023-09-18,Blackjack,5923.41,1528.86
2023-08-14,Ruleta,1787.02,3461.8
2023-05-04,Poker,4396.27,4437.05
2023-02-07,Poker,4721.65,4997.12
2023-11-24,Tragamonedas,1358.3,2989.95
2023-09-08,Tragamonedas,3465.89,6149.14
2023-06-25,Blackjack,9600.85,4194.07
2023-03-31,Ruleta,9582.69,3356.8
2023-02-06,Poker,4170.94,937.06
2023-11-12,Blackjack,1387.9,3520.48
2023-06-25,Poker,2611.85,5834.78
2023-10-11,Tragamonedas,4529.96,4494.52
2023-03-22,Poker,9530.02,5909.06
2023-04-24,Ruleta,2270.79,3711.08
2023-02-09,Ruleta,7871.64,1270.0
2023-10-28,Tragamonedas,1978.14,588.66
2023-08-12,Ruleta,9831.32,2470.93
2023-11-14,Ruleta,4434.55,5036.94
2023-12-15,Blackjack,7977.11,5636.69
2023-04-25,Poker,4083.32,2422.39
2023-07-05,Tragamonedas,6649.02,3721.75
2023-11-19,Tragamonedas,2728.14,3237.27
2023-02-25,Tragamonedas,2314.19,3168.4
2023-02-09,Tragamonedas,9442.58,2003.77
2023-12-20,Tragamonedas,9258.83,1386.41
2023-02-09,Ruleta,8987.22,1778.48
2023-12-13,Blackjack,6628.9,859.66
2023-08-25,Tragamonedas,8274.41,1787.85
2023-10-16,Blackjack,1621.33,559.81
2023-09-19,Blackjack,4013.1,4577.18
2023-08-04,Ruleta,3823.33,2556.44
2023-05-27,Tragamonedas,6720.81,6825.44
2023-12-02,Ruleta,4203.62,1759.16
2023-06-17,Tragamonedas,2336.56,2747.89
2023-04-02,Ruleta,6368.2,2825.97
2023-12-19,Blackjack,8329.46,554.93
2023-02-28,Tragamonedas,4439.11,5954.85
2023-02-28,Poker,2190.42,707.96
2023-10-31,Blackjack,2770.19,6611.17
2023-06-18,Poker,3137.35,6298.48
2023-09-26,Blackjack,3699.08,3980.89
2023-12-29,Ruleta,6785.16,4033.37
2023-02-14,Tragamonedas,6408.51,4749.56
2023-12-11,Blackjack,7264.72,3015.83
2023-06-30,Ruleta,4262.52,4706.94
2023-06-19,Tragamonedas,8415.98,790.99
2023-12-22,Tragamonedas,2836.79,851.31
2023-07-10,Blackjack,5221.37,3472.0
2023-06-04,Tragamonedas,8208.45,4072.54
2023-07-07,Blackjack,2621.43,6270.81
2023-01-07,Tragamonedas,1988.77,1180.29
2023-05-13,Poker,8953.16,5847.21
2023-08-23,Ruleta,4086.37,1865.31
2023-02-14,Poker,7154.83,3061.54
2023-11-10,Blackjack,1228.14,2557.92
2023-09-06,Poker,7210.42,3101.01
2023-01-31,Blackjack,3844.91,1478.22
2023-01-23,Tragamonedas,1501.67,3773.21
2023-06-09,Tragamonedas,6488.31,5710.68
2023-12-29,Blackjack,3167.23,3369.97
2023-06-07,Poker,4481.27,3688.99
2023-02-08,Tragamonedas,1725.23,6016.99
2023-03-23,Ruleta,2324.47,5089.38
2023-12-22,Tragamonedas,3681.8,3687.95
2023-09-15,Ruleta,1807.84,2175.02
2023-07-25,Poker,9197.44,6252.02
2023-03-18,Ruleta,1054.42,4250.63
2023-01-12,Ruleta,5354.74,1937.46
2023-10-22,Ruleta,2109.23,2249.28
2023-08-12,Ruleta,3769.11,5720.37
2023-01-13,Tragamonedas,9334.54,786.95
2023-02-15,Ruleta,2455.25,6948.6
2023-06-04,Tragamonedas,9692.49,1347.29
2023-04-23,Ruleta,2852.15,5674.45
2023-08-21,Blackjack,7674.09,3066.04
2023-01-17,Poker,5920.1,3699.41
2023-12-26,Ruleta,8960.31,6224.23
2023-08-11,Blackjack,5985.94,3183.92
2023-12-20,Ruleta,5811.03,3993.71
2023-07-07,Ruleta,2759.12,820.45
2023-12-10,Ruleta,2496.06,515.26
2023-12-31,Blackjack,9248.4,2091.2
2023-06-12,Poker,3950.54,4923.79
2023-11-22,Blackjack,4348.74,1288.22
2023-03-15,Poker,7838.41,1239.45
2023-08-21,Ruleta,4049.41,3171.24
2023-08-12,Tragamonedas,9568.56,4710.94
2023-11-15,Ruleta,7641.35,5128.47
2023-03-01,Poker,6376.86,1659.93
2023-12-01,Blackjack,8928.06,1017.32
2023-08-10,Ruleta,1446.45,6612.58
2023-02-06,Blackjack,3313.56,2194.33
2023-10-05,Blackjack,5185.33,6046.75
2023-07-15,Blackjack,3042.81,6112.69
2023-12-18,Ruleta,7695.15,5521.4
2023-08-30,Blackjack,9272.87,1597.42
2023-11-20,Blackjack,4813.93,5841.71
2023-08-07,Ruleta,4079.19,5500.13
2023-07-11,Blackjack,9653.96,4378.7
2023-01-17,Ruleta,5003.67,2691.81
2023-01-12,Poker,5401.44,2206.31
2023-07-12,Poker,4164.85,1292.28
2023-01-22,Poker,9185.94,3813.42
2023-04-30,Blackjack,6120.6,4304.2
2023-07-29,Tragamonedas,7859.57,2835.7
2023-11-02,Tragamonedas,8306.26,3589.83
2023-09-27,Blackjack,4076.64,2862.84
2023-07-11,Tragamonedas,4903.25,4666.54
2023-06-24,Ruleta,8636.25,6358.18
2023-10-12,Tragamonedas,4269.3,1565.48
2023-07-23,Blackjack,8145.42,2979.16
2023-06-13,Blackjack,9468.93,1415.65
2023-09-08,Ruleta,6608.89,4562.13
2023-08-15,Poker,7674.65,5237.66
2023-01-07,Blackjack,8245.88,6557.43
2023-01-29,Ruleta,8605.36,2312.67
2023-02-02,Tragamonedas,4555.48,6676.37
2023-05-14,Tragamonedas,1461.37,911.21
2023-03-20,Ruleta,4616.89,4419.59
2023-02-27,Ruleta,7063.81,871.36
2023-01-26,Blackjack,5053.15,6309.53
2023-08-14,Tragamonedas,7740.67,3943.76
2023-10-12,Ruleta,4212.84,4850.76
2023-01-04,Tragamonedas,6712.7,5905.23
2023-04-09,Ruleta,2677.78,1477.02
2023-02-08,Tragamonedas,7744.32,750.85
2023-09-28,Poker,5911.26,6212.73
2023-10-12,Blackjack,2836.58,2547.07
2023-06-06,Tragamonedas,3627.2,1338.36
2023-03-16,Poker,7737.48,3545.0
2023-10-15,Tragamonedas,5343.41,4388.99
2023-05-10,Tragamonedas,2944.28,701.31
2023-06-24,Poker,9705.44,2286.82
2023-03-25,Tragamonedas,7436.13,713.2
2023-01-22,Tragamonedas,9614.21,3232.18
2023-01-27,Blackjack,4843.95,6318.15
2023-07-14,Poker,5275.9,6887.24
2023-12-03,Poker,9081.6,4640.81
2023-08-24,Ruleta,5725.44,1550.65
2023-04-02,Tragamonedas,7365.51,6388.02
2023-01-21,Blackjack,3269.56,3855.61
2023-10-30,Tragamonedas,5020.54,1499.37
2023-12-23,Tragamonedas,2111.05,6491.22
2023-03-25,Ruleta,2853.82,5423.55
2023-09-19,Tragamonedas,1008.49,5256.08
2023-05-27,Blackjack,1353.39,5109.67
2023-09-14,Blackjack,9795.55,1802.21
2023-02-27,Ruleta,3181.18,1871.54
2023-01-15,Tragamonedas,6969.8,4973.9
2023-06-11,Blackjack,8551.9,1928.2
2023-06-12,Tragamonedas,5955.94,3351.37
2023-11-16,Tragamonedas,2378.3,5583.01
2023-10-08,Tragamonedas,7553.05,5595.69
2023-10-07,Ruleta,6402.26,3446.2
2023-01-12,Tragamonedas,7581.26,5649.23
2023-10-01,Blackjack,7927.72,5951.04
2023-09-28,Tragamonedas,9778.69,4756.04
2023-07-27,Blackjack,6162.07,1984.77
2023-01-27,Tragamonedas,4074.77,2281.08
2023-03-13,Blackjack,6836.18,2546.47
2023-03-01,Blackjack,1615.97,1259.23
2023-05-25,Tragamonedas,9076.58,2275.54
2023-04-03,Tragamonedas,2074.43,1861.87
2023-11-05,Blackjack,3950.59,3459.64
2023-01-08,Poker,8341.71,6404.84
2023-03-20,Ruleta,6375.81,1179.12
2023-01-27,Poker,4542.72,5181.74
2023-06-23,Poker,5260.92,4967.34
2023-02-19,Tragamonedas,8690.93,1122.4
2023-07-18,Ruleta,4060.04,6496.72
2023-12-15,Poker,8826.85,4195.07
2023-06-30,Tragamonedas,1793.21,2864.22
2023-01-24,Poker,7991.19,5417.5
2023-11-12,Poker,8627.93,2172.88
2023-02-15,Tragamonedas,2636.36,5007.81
2023-01-15,Tragamonedas,4873.12,758.12
2023-06-02,Tragamonedas,2489.5,5956.15
2023-08-10,Ruleta,7359.44,3413.11
2023-07-25,Poker,5818.13,4638.5
2023-09-30,Tragamonedas,6717.91,1938.05
2023-08-24,Blackjack,2768.38,4900.98
2023-12-06,Poker,2905.71,5519.56
2023-08-16,Blackjack,1373.48,3575.89
2023-01-09,Ruleta,3898.61,4515.23
2023-06-15,Tragamonedas,6037.7,3466.12
2023-11-15,Blackjack,8721.41,6311.59
2023-08-02,Ruleta,7002.35,3736.15
2023-04-27,Tragamonedas,4918.57,5971.76
2023-12-10,Blackjack,9578.08,5708.79
2023-03-13,Blackjack,7473.21,3168.28
2023-03-05,Ruleta,9371.49,1995.55
2023-07-24,Tragamonedas,5748.29,3139.53
2023-07-28,Tragamonedas,3330.14,5870.41
2023-03-13,Blackjack,1475.44,1979.61
2023-10-04,Blackjack,7534.76,3908.84
2023-10-01,Blackjack,2091.73,5739.63
2023-11-16,Tragamonedas,3724.98,2797.6
2023-12-04,Ruleta,5792.24,4674.36
2023-04-05,Ruleta,6079.75,2096.61
2023-06-15,Tragamonedas,6405.25,1210.32
2023-02-01,Poker,2496.3,5663.5
2023-01-11,Ruleta,4417.64,1143.3
2023-10-28,Blackjack,6554.75,2263.98
2023-08-05,Poker,9728.37,6058.21
2023-10-16,Poker,7548.68,2752.05
2023-04-12,Ruleta,9303.43,6824.79
2023-09-24,Poker,7859.91,6868.27
2023-08-02,Poker,6325.45,2243.79
2023-06-28,Ruleta,2728.21,766.36
2023-03-29,Ruleta,7000.17,5082.91
2023-02-10,Poker,6610.42,3431.41
2023-03-17,Blackjack,6422.22,1154.89
2023-02-15,Tragamonedas,5408.07,5098.9
2023-06-09,Poker,5757.91,702.64
2023-03-21,Poker,4009.98,6156.28
2023-11-06,Blackjack,5673.81,1401.24
2023-03-27,Poker,2778.0,1327.53
2023-04-02,Poker,8246.57,1641.87
2023-05-28,Tragamonedas,2671.99,6741.73
2023-06-10,Tragamonedas,1764.7,5005.6
2023-07-21,Tragamonedas,4926.21,5708.91
2023-08-30,Ruleta,6924.77,3084.63
2023-12-19,Ruleta,4939.45,2686.03
2023-01-02,Tragamonedas,3490.79,2024.15
2023-08-13,Tragamonedas,6023.54,3624.21
2023-10-16,Ruleta,4123.02,4086.89
2023-08-21,Blackjack,9395.81,4606.54
2023-03-18,Poker,9303.81,2171.27
2023-04-26,Poker,5521.35,6666.25
2023-06-03,Tragamonedas,3950.96,1603.43
2023-04-13,Blackjack,7634.19,6776.75
2023-07-13,Ruleta,1330.42,596.56
2023-06-15,Tragamonedas,5272.92,3627.32
2023-12-25,Blackjack,4026.91,2666.89
2023-03-31,Blackjack,9284.82,3419.3
2023-06-23,Blackjack,1108.03,4209.32
2023-05-02,Ruleta,5975.33,3331.33
2023-05-23,Ruleta,7665.97,3196.5
2023-04-16,Poker,5365.16,5262.7
2023-11-01,Poker,1768.63,4958.2
2023-12-26,Blackjack,9752.15,5916.26
2023-11-13,Blackjack,5662.09,2124.73
2023-05-03,Ruleta,6527.68,4461.94
2023-01-09,Poker,3129.49,4303.77
2023-09-19,Blackjack,5351.48,2903.3
2023-03-14,Poker,4862.35,3659.37
2023-12-25,Poker,1674.06,2539.58
2023-08-11,Blackjack,1955.44,1421.99
2023-02-10,Ruleta,8537.25,1889.71
2023-07-23,Blackjack,3158.38,1185.84
2023-09-21,Blackjack,2754.62,4939.95
2023-11-24,Poker,5544.2,4794.73
2023-06-27,Blackjack,7918.72,6678.94
2023-12-14,Ruleta,1557.52,5242.91
2023-11-14,Blackjack,6191.27,838.3
2023-03-25,Ruleta,2072.89,6247.59
2023-11-14,Ruleta,1328.15,6107.39
2023-04-21,Poker,1474.7,3381.58
2023-09-08,Tragamonedas,8507.48,4308.11
2023-01-07,Tragamonedas,2061.75,6844.51
2023-03-25,Poker,1406.36,3959.98
2023-07-27,Blackjack,4941.1,6384.59
2023-11-10,Poker,8595.94,1039.75
2023-01-22,Ruleta,3361.68,1741.84
2023-01-03,Tragamonedas,4795.41,3364.91
2023-05-07,Poker,1359.3,4300.92
2023-10-24,Blackjack,5041.71,5805.48
2023-07-07,Poker,6198.52,6923.7
2023-12-28,Tragamonedas,6138.16,3027.53
2023-01-14,Poker,3991.84,808.2
2023-01-12,Poker,3839.8,5707.61
2023-03-28,Tragamonedas,1959.61,4428.47
2023-01-12,Ruleta,4301.18,1790.53
2023-01-25,Ruleta,1895.45,3716.38
2023-10-28,Tragamonedas,7899.36,5325.02
2023-08-31,Poker,9696.47,5507.68
2023-05-02,Tragamonedas,9730.67,3747.52
2023-05-27,Ruleta,8785.64,2483.89
2023-02-24,Blackjack,6407.13,6829.33
2023-08-26,Poker,7307.79,4811.86
2023-12-22,Ruleta,3566.85,3153.54
2023-06-22,Poker,6676.93,2323.01
2023-08-09,Tragamonedas,5100.85,5252.17
2023-04-29,Blackjack,5338.16,2074.19
2023-11-05,Tragamonedas,7819.99,1616.11
2023-07-02,Blackjack,3537.27,3943.92
2023-10-15,Poker,3862.36,2384.92
2023-11-03,Poker,9321.78,4587.88
2023-10-27,Tragamonedas,1506.02,1266.6
2023-03-23,Blackjack,5370.71,4757.12
2023-07-30,Blackjack,9215.21,2341.43
2023-05-30,Poker,6493.27,501.58
2023-02-06,Tragamonedas,5917.66,1325.08
2023-12-18,Blackjack,3247.7,6568.5
2023-11-08,Poker,4089.48,6137.81
2023-12-27,Ruleta,8668.44,2018.46
2023-02-28,Tragamonedas,6032.96,5559.42
2023-05-11,Ruleta,5632.68,4455.72
2023-07-21,Tragamonedas,1896.22,6810.88
2023-08-31,Poker,1144.25,2928.44
2023-02-04,Blackjack,9673.17,4929.49
2023-04-03,Blackjack,4392.88,912.98
2023-07-26,Blackjack,6428.92,3075.61
2023-12-19,Tragamonedas,1717.44,6764.81
2023-11-28,Poker,7148.03,4003.38
2023-11-01,Ruleta,9393.1,2371.22
2023-12-16,Poker,6180.99,1281.76
2023-08-01,Ruleta,2135.04,5072.93
2023-06-08,Tragamonedas,6235.49,4691.56
2023-01-24,Tragamonedas,7897.12,2930.6
2023-10-20,Ruleta,4657.75,6681.12
2023-01-04,Ruleta,8918.54,644.32
