Timestamp,Consumo_kWh,Temperatura_C,Humedad_Porcentaje,Produccion_MWh
2023-01-02 14:00:00,152.63,17.53,43.01,26.12
2023-01-02 15:00:00,116.02,34.47,61.81,11.68
2023-01-02 16:00:00,68.31,19.61,66.79,36.94
2023-01-02 17:00:00,124.28,30.46,77.65,48.76
2023-01-02 18:00:00,55.16,21.78,69.57,36.21
2023-01-02 19:00:00,186.4,17.86,61.64,18.97
2023-01-02 20:00:00,88.82,32.16,77.3,24.21
2023-01-02 21:00:00,149.38,21.18,59.14,49.07
2023-01-02 22:00:00,96.76,28.18,62.45,18.96
2023-01-02 23:00:00,128.01,26.33,63.84,32.46
2023-01-03 00:00:00,132.01,24.44,56.4,26.02
2023-01-03 01:00:00,77.73,24.92,73.54,40.73
2023-01-03 02:00:00,195.44,29.64,47.41,44.7
2023-01-03 03:00:00,166.27,16.76,62.19,23.63
2023-01-03 04:00:00,190.92,28.36,68.89,36.42
2023-01-03 05:00:00,184.22,32.92,76.16,31.96
2023-01-03 06:00:00,139.68,16.16,75.36,21.14
2023-01-03 07:00:00,188.28,17.81,60.35,20.88
2023-01-03 08:00:00,63.27,29.33,65.73,31.55
2023-01-03 09:00:00,79.4,23.75,55.77,16.16
2023-01-03 10:00:00,56.78,23.07,58.73,42.43
2023-01-03 11:00:00,98.8,17.74,76.25,12.76
2023-01-03 12:00:00,108.3,25.14,77.23,13.78
2023-01-03 13:00:00,90.7,17.53,75.82,23.69
2023-01-03 14:00:00,174.31,24.53,45.53,14.72
2023-01-03 15:00:00,103.51,30.27,74.0,29.03
2023-01-03 16:00:00,92.14,20.17,77.93,25.99
2023-01-03 17:00:00,131.4,24.62,54.45,38.87
2023-01-03 18:00:00,71.14,34.84,60.75,48.12
2023-01-03 19:00:00,170.33,28.73,71.16,40.14
2023-01-03 20:00:00,61.18,31.83,62.48,17.18
2023-01-03 21:00:00,198.03,23.3,79.74,47.42
2023-01-03 22:00:00,165.84,30.36,58.23,25.69
2023-01-03 23:00:00,79.81,15.81,68.56,28.97
2023-01-04 00:00:00,50.83,17.46,71.7,26.86
2023-01-04 01:00:00,172.32,19.06,59.76,21.22
2023-01-04 02:00:00,156.03,23.04,74.28,45.8
2023-01-04 03:00:00,159.35,31.91,61.85,23.29
2023-01-04 04:00:00,165.69,21.93,56.47,33.14
2023-01-04 05:00:00,61.11,28.09,44.31,19.6
2023-01-04 06:00:00,103.77,29.19,55.74,41.9
2023-01-04 07:00:00,67.38,26.72,69.36,40.97
2023-01-04 08:00:00,179.47,22.14,76.85,21.85
2023-01-04 09:00:00,143.49,26.54,50.07,37.26
2023-01-04 10:00:00,99.63,21.85,54.21,38.15
2023-01-04 11:00:00,59.53,16.68,46.16,32.5
2023-01-04 12:00:00,96.65,34.86,67.63,34.02
2023-01-04 13:00:00,98.78,17.54,78.41,32.98
2023-01-04 14:00:00,159.44,16.45,65.64,13.27
2023-01-04 15:00:00,145.63,32.57,64.68,36.81
2023-01-04 16:00:00,183.08,21.04,62.14,28.79
2023-01-04 17:00:00,120.83,28.01,43.54,27.54
2023-01-04 18:00:00,67.94,21.58,69.18,44.4
2023-01-04 19:00:00,156.99,22.83,64.08,10.93
2023-01-04 20:00:00,164.12,20.24,66.46,20.05
2023-01-04 21:00:00,134.19,21.86,75.95,14.86
2023-01-04 22:00:00,165.65,23.21,71.36,11.41
2023-01-04 23:00:00,124.07,29.41,71.24,21.03
2023-01-05 00:00:00,128.41,25.23,77.09,49.54
2023-01-05 01:00:00,114.13,33.87,79.6,20.81
2023-01-05 02:00:00,53.81,15.84,63.25,36.55
2023-01-05 03:00:00,66.18,25.06,44.36,14.73
2023-01-05 04:00:00,54.71,26.68,58.37,34.07
2023-01-05 05:00:00,145.46,33.4,71.5,49.38
2023-01-05 06:00:00,97.15,15.98,41.11,21.67
2023-01-05 07:00:00,126.29,26.47,42.28,43.92
2023-01-05 08:00:00,186.13,32.07,42.69,49.9
2023-01-05 09:00:00,87.39,19.84,69.24,33.54
2023-01-05 10:00:00,111.56,32.53,60.05,22.38
2023-01-05 11:00:00,163.33,15.38,54.76,36.94
2023-01-05 12:00:00,84.32,29.65,44.22,43.79
2023-01-05 13:00:00,61.55,33.66,69.29,16.85
2023-01-05 14:00:00,93.46,28.14,52.84,28.1
2023-01-05 15:00:00,74.18,23.78,50.61,22.77
2023-01-05 16:00:00,189.45,15.9,66.09,21.33
2023-01-05 17:00:00,171.22,33.4,62.36,44.43
2023-01-05 18:00:00,145.01,24.41,54.5,26.87
2023-01-05 19:00:00,180.72,15.58,65.66,23.56
2023-01-05 20:00:00,170.55,28.8,50.85,34.14
2023-01-05 21:00:00,77.99,24.64,71.79,18.78
2023-01-05 22:00:00,183.88,17.49,49.17,19.2
2023-01-05 23:00:00,130.9,19.29,46.35,30.81
2023-01-06 00:00:00,171.12,16.29,71.3,26.37
2023-01-06 01:00:00,184.41,26.49,68.32,21.8
2023-01-06 02:00:00,97.7,27.44,47.31,12.16
2023-01-06 03:00:00,66.51,25.11,44.65,30.83
2023-01-06 04:00:00,84.19,31.34,73.54,42.66
2023-01-06 05:00:00,114.07,32.22,71.06,44.06
2023-01-06 06:00:00,172.7,27.31,53.09,19.42
2023-01-06 07:00:00,179.11,15.26,66.33,33.99
2023-01-06 08:00:00,51.04,28.9,44.97,44.24
2023-01-06 09:00:00,126.61,23.36,60.28,26.35
2023-01-06 10:00:00,112.61,26.31,40.75,47.29
2023-01-06 11:00:00,83.32,27.98,55.66,46.12
2023-01-06 12:00:00,67.98,22.0,42.99,18.33
2023-01-06 13:00:00,100.64,33.34,59.01,20.36
2023-01-06 14:00:00,191.44,17.68,56.87,17.22
2023-01-06 15:00:00,98.48,28.43,57.78,17.84
2023-01-06 16:00:00,127.82,15.09,41.81,46.31
2023-01-06 17:00:00,155.45,33.49,54.46,47.25
2023-01-06 18:00:00,104.54,17.25,70.26,12.08
2023-01-06 19:00:00,195.77,16.9,54.76,33.74
2023-01-06 20:00:00,194.37,21.66,68.61,32.57
2023-01-06 21:00:00,87.77,22.47,54.78,25.62
2023-01-06 22:00:00,124.59,19.29,56.93,35.27
2023-01-06 23:00:00,95.13,26.7,62.56,47.89
2023-01-07 00:00:00,92.73,23.86,78.03,16.81
2023-01-07 01:00:00,55.53,15.68,44.35,14.82
2023-01-07 02:00:00,141.43,21.39,41.32,11.34
2023-01-07 03:00:00,125.4,31.21,64.32,24.55
2023-01-07 04:00:00,57.72,28.79,77.96,23.51
2023-01-07 05:00:00,91.8,29.5,79.59,27.23
2023-01-07 06:00:00,186.24,28.96,59.37,30.13
2023-01-07 07:00:00,85.93,21.22,58.72,40.31
2023-01-07 08:00:00,71.73,16.99,65.8,25.68
2023-01-07 09:00:00,123.42,20.45,62.23,23.22
2023-01-07 10:00:00,197.85,31.64,65.36,43.08
2023-01-07 11:00:00,86.31,34.61,74.96,43.99
2023-01-07 12:00:00,150.82,24.88,69.85,19.31
2023-01-07 13:00:00,164.24,15.19,59.88,22.59
2023-01-07 14:00:00,85.65,17.8,58.47,43.0
2023-01-07 15:00:00,159.23,21.44,65.58,13.18
2023-01-07 16:00:00,105.17,26.57,58.23,23.03
2023-01-07 17:00:00,144.85,16.5,58.31,27.93
2023-01-07 18:00:00,145.03,33.87,40.65,17.48
2023-01-07 19:00:00,130.37,22.3,46.96,17.2
2023-01-07 20:00:00,63.54,33.25,59.54,26.99
2023-01-07 21:00:00,175.3,30.61,72.91,40.18
2023-01-07 22:00:00,98.12,30.11,51.15,43.61
2023-01-07 23:00:00,77.98,27.13,60.91,49.17
2023-01-08 00:00:00,56.12,27.54,53.8,12.96
2023-01-08 01:00:00,138.63,27.76,44.19,18.67
2023-01-08 02:00:00,151.63,27.57,78.33,40.27
2023-01-08 03:00:00,52.49,26.07,74.19,31.62
2023-01-08 04:00:00,126.81,34.73,43.14,23.11
2023-01-08 05:00:00,83.97,29.65,68.79,18.22
2023-01-08 06:00:00,146.78,30.54,53.9,21.22
2023-01-08 07:00:00,76.15,32.45,79.79,27.17
2023-01-08 08:00:00,153.64,19.31,52.1,17.09
2023-01-08 09:00:00,108.01,16.68,49.55,48.57
2023-01-08 10:00:00,190.51,24.66,62.72,14.3
2023-01-08 11:00:00,70.63,25.28,73.41,49.42
2023-01-08 12:00:00,101.16,31.58,47.7,43.68
2023-01-08 13:00:00,67.02,23.88,68.38,26.93
2023-01-08 14:00:00,188.7,26.42,42.46,39.59
2023-01-08 15:00:00,181.6,25.54,76.76,36.86
2023-01-08 16:00:00,88.69,15.76,43.24,18.53
2023-01-08 17:00:00,149.0,27.3,76.57,23.56
2023-01-08 18:00:00,172.58,31.56,59.63,30.52
2023-01-08 19:00:00,133.28,18.15,57.92,35.51
2023-01-08 20:00:00,129.45,26.89,78.93,31.72
2023-01-08 21:00:00,86.28,26.87,79.62,28.92
2023-01-08 22:00:00,63.97,18.28,66.01,27.73
2023-01-08 23:00:00,184.58,17.47,45.08,29.93
2023-01-09 00:00:00,185.06,34.6,60.25,27.37
2023-01-09 01:00:00,144.97,22.87,61.17,31.65
2023-01-09 02:00:00,100.85,19.55,60.58,45.52
2023-01-09 03:00:00,102.38,18.43,62.78,35.31
2023-01-09 04:00:00,158.89,28.35,40.75,38.9
2023-01-09 05:00:00,184.57,27.19,68.45,33.9
2023-01-09 06:00:00,183.06,27.87,68.5,35.72
2023-01-09 07:00:00,166.98,16.76,44.62,33.13
2023-01-09 08:00:00,146.3,32.87,62.81,11.07
2023-01-09 09:00:00,62.62,22.79,62.73,49.98
2023-01-09 10:00:00,74.24,21.27,67.3,11.34
2023-01-09 11:00:00,184.78,24.25,43.42,25.81
2023-01-09 12:00:00,140.96,22.8,65.06,14.2
2023-01-09 13:00:00,51.38,32.27,51.23,13.88
2023-01-09 14:00:00,65.22,33.59,60.28,41.74
2023-01-09 15:00:00,149.53,21.07,70.93,27.04
2023-01-09 16:00:00,50.76,32.28,68.23,42.05
2023-01-09 17:00:00,74.12,30.63,44.76,20.91
2023-01-09 18:00:00,132.31,33.62,63.65,20.26
2023-01-09 19:00:00,153.78,19.92,78.76,20.05
2023-01-09 20:00:00,147.79,26.54,46.27,34.65
2023-01-09 21:00:00,83.64,20.49,74.12,42.6
2023-01-09 22:00:00,156.83,31.48,68.1,28.09
2023-01-09 23:00:00,85.59,15.11,70.96,25.17
2023-01-10 00:00:00,98.81,26.3,51.28,48.94
2023-01-10 01:00:00,161.97,21.78,51.52,14.67
2023-01-10 02:00:00,147.44,21.45,76.24,29.47
2023-01-10 03:00:00,177.38,27.9,54.39,26.34
2023-01-10 04:00:00,148.64,32.03,42.52,13.93
2023-01-10 05:00:00,135.25,27.18,64.02,20.73
2023-01-10 06:00:00,64.05,32.06,44.99,11.14
2023-01-10 07:00:00,105.16,20.29,71.86,45.08
2023-01-10 08:00:00,89.78,25.39,65.67,34.31
2023-01-10 09:00:00,86.6,24.01,74.99,42.6
2023-01-10 10:00:00,195.95,15.23,71.39,30.86
2023-01-10 11:00:00,108.96,26.14,44.48,33.98
2023-01-10 12:00:00,183.81,28.23,55.24,38.03
2023-01-10 13:00:00,144.67,26.84,70.98,46.32
2023-01-10 14:00:00,169.22,29.73,56.69,13.67
2023-01-10 15:00:00,125.4,26.43,78.89,23.24
2023-01-10 16:00:00,136.54,16.34,69.43,38.36
2023-01-10 17:00:00,123.88,17.33,40.62,48.33
2023-01-10 18:00:00,79.29,26.93,75.2,49.23
2023-01-10 19:00:00,158.37,20.5,44.03,35.52
2023-01-10 20:00:00,92.12,16.59,45.62,17.74
2023-01-10 21:00:00,53.65,23.59,69.38,14.77
2023-01-10 22:00:00,146.82,26.09,74.6,47.84
2023-01-10 23:00:00,76.57,21.57,61.45,27.36
2023-01-11 00:00:00,191.07,29.41,51.56,17.79
2023-01-11 01:00:00,193.09,27.88,54.05,47.36
2023-01-11 02:00:00,187.23,21.66,53.72,14.18
2023-01-11 03:00:00,105.52,30.1,53.07,39.18
2023-01-11 04:00:00,52.32,27.97,49.72,35.01
2023-01-11 05:00:00,189.25,27.75,64.35,13.51
2023-01-11 06:00:00,114.23,26.07,76.02,23.55
2023-01-11 07:00:00,195.0,15.23,52.28,16.0
2023-01-11 08:00:00,194.54,28.93,47.47,34.18
2023-01-11 09:00:00,177.95,22.52,73.54,29.08
2023-01-11 10:00:00,94.17,33.85,69.67,10.17
2023-01-11 11:00:00,107.76,31.36,77.23,49.03
2023-01-11 12:00:00,177.67,26.75,46.62,23.98
2023-01-11 13:00:00,97.54,20.04,45.77,20.33
2023-01-11 14:00:00,75.42,19.07,61.66,18.9
2023-01-11 15:00:00,133.52,21.81,64.58,16.35
2023-01-11 16:00:00,190.42,24.53,59.21,49.97
2023-01-11 17:00:00,154.4,20.92,63.96,21.8
2023-01-11 18:00:00,135.51,25.3,47.22,26.22
2023-01-11 19:00:00,64.58,18.31,59.18,44.85
2023-01-11 20:00:00,142.25,34.55,66.32,35.68
2023-01-11 21:00:00,198.51,17.16,57.31,24.75
2023-01-11 22:00:00,71.01,33.64,67.18,45.93
2023-01-11 23:00:00,127.75,33.27,58.05,39.99
2023-01-12 00:00:00,181.61,25.51,53.34,19.12
2023-01-12 01:00:00,161.12,29.5,52.14,35.75
2023-01-12 02:00:00,154.55,23.72,56.44,46.9
2023-01-12 03:00:00,155.37,27.6,40.92,29.86
2023-01-12 04:00:00,103.92,21.81,66.74,39.34
2023-01-12 05:00:00,94.04,21.02,73.8,48.84
2023-01-12 06:00:00,171.4,26.56,54.19,37.62
2023-01-12 07:00:00,171.52,24.96,41.84,14.1
2023-01-12 08:00:00,180.06,26.59,79.47,19.78
2023-01-12 09:00:00,186.99,20.73,50.55,33.8
2023-01-12 10:00:00,126.7,22.34,45.06,21.02
2023-01-12 11:00:00,125.23,16.68,54.79,48.3
2023-01-12 12:00:00,169.74,16.05,69.54,26.21
2023-01-12 13:00:00,147.49,20.07,51.76,28.29
2023-01-12 14:00:00,155.3,16.48,62.99,38.06
2023-01-12 15:00:00,169.37,17.08,56.62,30.97
2023-01-12 16:00:00,183.5,31.26,44.71,25.29
2023-01-12 17:00:00,100.7,15.78,53.21,13.07
2023-01-12 18:00:00,106.34,28.18,68.99,33.86
2023-01-12 19:00:00,64.1,20.45,64.48,44.7
2023-01-12 20:00:00,136.74,32.43,44.79,37.43
2023-01-12 21:00:00,55.39,24.7,46.53,25.26
2023-01-12 22:00:00,119.84,21.11,65.63,15.11
2023-01-12 23:00:00,131.4,25.35,72.54,42.65
2023-01-13 00:00:00,92.98,22.64,53.98,47.67
2023-01-13 01:00:00,138.62,26.29,63.81,25.53
2023-01-13 02:00:00,54.58,17.29,46.83,39.15
2023-01-13 03:00:00,55.6,34.94,52.46,26.43
2023-01-13 04:00:00,173.39,23.51,40.81,30.09
2023-01-13 05:00:00,104.03,21.96,70.73,43.46
2023-01-13 06:00:00,69.06,29.2,56.04,13.34
2023-01-13 07:00:00,128.34,22.28,72.65,31.21
2023-01-13 08:00:00,165.5,31.67,68.33,18.58
2023-01-13 09:00:00,82.37,24.09,73.15,23.59
2023-01-13 10:00:00,143.43,29.39,51.43,35.78
2023-01-13 11:00:00,62.8,17.15,47.4,11.09
2023-01-13 12:00:00,57.75,31.92,78.88,33.75
2023-01-13 13:00:00,129.7,29.71,68.69,21.34
2023-01-13 14:00:00,131.1,19.23,73.36,36.78
2023-01-13 15:00:00,145.61,17.91,40.53,15.66
2023-01-13 16:00:00,158.91,21.33,54.18,39.43
2023-01-13 17:00:00,196.38,34.52,69.71,35.83
2023-01-13 18:00:00,127.45,20.14,43.12,48.85
2023-01-13 19:00:00,98.44,24.12,62.69,46.45
2023-01-13 20:00:00,169.28,15.6,57.16,21.33
2023-01-13 21:00:00,90.62,22.94,40.7,11.09
2023-01-13 22:00:00,115.85,26.43,49.44,36.21
2023-01-13 23:00:00,61.77,34.06,51.39,34.12
2023-01-14 00:00:00,53.8,25.33,44.47,11.1
2023-01-14 01:00:00,194.4,31.38,65.26,14.91
2023-01-14 02:00:00,175.4,25.94,49.7,33.39
2023-01-14 03:00:00,154.4,15.82,51.1,46.47
2023-01-14 04:00:00,111.34,21.3,75.93,46.26
2023-01-14 05:00:00,75.99,26.51,58.68,16.06
2023-01-14 06:00:00,73.47,34.01,55.69,25.38
2023-01-14 07:00:00,87.54,32.18,68.95,11.73
2023-01-14 08:00:00,132.38,19.57,76.38,28.77
2023-01-14 09:00:00,157.19,19.4,41.0,40.12
2023-01-14 10:00:00,149.03,19.02,57.93,41.6
2023-01-14 11:00:00,91.99,33.45,64.43,29.96
2023-01-14 12:00:00,193.23,32.05,52.74,13.83
2023-01-14 13:00:00,160.68,30.5,70.9,25.25
2023-01-14 14:00:00,133.15,22.85,78.86,47.28
2023-01-14 15:00:00,141.76,25.09,77.74,19.18
2023-01-14 16:00:00,112.94,24.29,50.64,22.79
2023-01-14 17:00:00,87.16,20.07,49.05,39.87
2023-01-14 18:00:00,103.4,25.1,78.3,39.34
2023-01-14 19:00:00,163.68,15.61,58.35,46.49
2023-01-14 20:00:00,52.16,17.64,48.33,25.52
2023-01-14 21:00:00,67.41,32.73,68.28,30.58
2023-01-14 22:00:00,56.9,30.03,51.38,28.7
2023-01-14 23:00:00,56.11,23.46,50.69,47.11
2023-01-15 00:00:00,178.32,25.34,75.17,40.77
2023-01-15 01:00:00,155.55,22.4,46.5,43.26
2023-01-15 02:00:00,121.13,29.82,42.58,15.32
2023-01-15 03:00:00,64.68,30.68,50.77,41.67
2023-01-15 04:00:00,123.74,30.27,64.28,27.32
2023-01-15 05:00:00,121.02,29.45,44.92,10.93
2023-01-15 06:00:00,75.98,19.09,58.86,12.4
2023-01-15 07:00:00,115.08,21.76,65.09,37.12
2023-01-15 08:00:00,109.78,24.4,73.95,24.88
2023-01-15 09:00:00,142.38,21.62,49.19,44.72
2023-01-15 10:00:00,145.26,30.1,72.69,39.37
2023-01-15 11:00:00,56.8,21.59,49.4,10.87
2023-01-15 12:00:00,106.19,17.76,67.07,37.48
2023-01-15 13:00:00,143.88,22.98,57.23,17.69
2023-01-15 14:00:00,125.47,34.6,44.59,26.9
2023-01-15 15:00:00,178.47,19.52,68.57,34.99
2023-01-15 16:00:00,148.8,27.24,48.71,44.91
2023-01-15 17:00:00,74.44,23.66,47.06,28.24
2023-01-15 18:00:00,60.59,16.42,54.33,42.34
2023-01-15 19:00:00,146.36,24.76,66.13,41.32
2023-01-15 20:00:00,53.98,29.04,49.36,26.58
2023-01-15 21:00:00,137.87,25.26,47.35,30.04
2023-01-15 22:00:00,191.03,32.44,40.4,38.02
2023-01-15 23:00:00,136.32,20.78,58.87,11.25
2023-01-16 00:00:00,108.23,16.72,57.15,45.63
2023-01-16 01:00:00,146.49,33.73,49.35,40.79
2023-01-16 02:00:00,118.74,22.56,42.15,19.98
2023-01-16 03:00:00,131.84,26.53,57.17,49.25
2023-01-16 04:00:00,191.22,30.84,71.53,17.18
2023-01-16 05:00:00,107.92,21.49,68.61,46.56
2023-01-16 06:00:00,194.18,29.32,74.43,22.98
2023-01-16 07:00:00,185.8,17.71,40.38,40.53
2023-01-16 08:00:00,79.37,20.83,78.66,28.26
2023-01-16 09:00:00,60.4,17.89,53.66,39.46
2023-01-16 10:00:00,65.12,31.22,79.62,16.23
2023-01-16 11:00:00,52.73,19.45,50.1,20.78
2023-01-16 12:00:00,64.17,29.35,58.86,13.99
2023-01-16 13:00:00,152.45,33.87,54.16,44.61
2023-01-16 14:00:00,60.68,25.56,54.23,21.85
2023-01-16 15:00:00,97.85,25.8,73.69,37.78
2023-01-16 16:00:00,176.73,24.22,69.86,42.81
2023-01-16 17:00:00,53.49,21.52,79.69,46.06
2023-01-16 18:00:00,172.17,24.51,64.54,14.25
2023-01-16 19:00:00,92.28,27.06,58.53,45.72
2023-01-16 20:00:00,67.72,34.72,43.6,17.89
2023-01-16 21:00:00,154.51,33.76,79.86,39.48
2023-01-16 22:00:00,144.34,32.24,62.06,39.15
2023-01-16 23:00:00,181.62,32.78,68.02,10.34
2023-01-17 00:00:00,160.26,24.36,56.27,18.82
2023-01-17 01:00:00,170.52,28.15,61.91,29.68
2023-01-17 02:00:00,92.31,32.9,77.7,26.8
2023-01-17 03:00:00,76.62,22.86,46.66,46.74
2023-01-17 04:00:00,162.59,34.24,51.69,24.39
2023-01-17 05:00:00,171.03,23.32,46.08,47.48
2023-01-17 06:00:00,198.58,27.02,71.69,28.38
2023-01-17 07:00:00,111.89,29.2,42.48,48.57
2023-01-17 08:00:00,105.8,34.01,43.27,39.49
2023-01-17 09:00:00,166.46,19.89,51.94,43.17
2023-01-17 10:00:00,101.12,29.92,60.57,14.2
2023-01-17 11:00:00,189.61,25.42,56.25,33.45
2023-01-17 12:00:00,178.76,20.37,41.79,15.71
2023-01-17 13:00:00,114.35,30.53,78.3,21.9
2023-01-17 14:00:00,162.63,26.04,78.11,34.94
2023-01-17 15:00:00,163.18,28.22,51.17,39.05
2023-01-17 16:00:00,65.47,21.46,69.26,11.57
2023-01-17 17:00:00,185.38,24.63,63.14,31.24
2023-01-17 18:00:00,125.79,27.35,49.5,32.61
2023-01-17 19:00:00,173.97,23.1,50.49,13.15
2023-01-17 20:00:00,98.01,18.97,59.65,30.03
2023-01-17 21:00:00,184.33,34.23,56.77,38.55
2023-01-17 22:00:00,108.38,25.23,51.65,12.13
2023-01-17 23:00:00,51.63,29.68,72.3,40.41
2023-01-18 00:00:00,185.81,23.22,59.26,33.06
2023-01-18 01:00:00,63.69,22.1,66.19,43.33
2023-01-18 02:00:00,97.9,23.14,47.57,18.72
2023-01-18 03:00:00,192.51,23.18,61.34,43.33
2023-01-18 04:00:00,192.59,25.88,52.72,13.78
2023-01-18 05:00:00,136.02,25.87,61.06,26.15
2023-01-18 06:00:00,144.78,24.94,71.23,17.98
2023-01-18 07:00:00,117.27,17.7,70.76,45.04
2023-01-18 08:00:00,93.98,24.92,54.17,38.2
2023-01-18 09:00:00,99.3,18.38,67.77,11.01
2023-01-18 10:00:00,150.88,17.52,77.65,10.38
2023-01-18 11:00:00,162.86,33.65,65.03,21.65
2023-01-18 12:00:00,168.74,27.1,45.94,15.73
2023-01-18 13:00:00,168.44,28.19,67.19,35.21
2023-01-18 14:00:00,63.68,23.04,44.2,36.55
2023-01-18 15:00:00,124.16,33.18,74.88,47.68
2023-01-18 16:00:00,58.63,27.76,60.67,48.08
2023-01-18 17:00:00,132.43,30.38,55.41,36.36
2023-01-18 18:00:00,116.23,22.37,42.28,10.23
2023-01-18 19:00:00,183.16,34.2,55.23,24.36
2023-01-18 20:00:00,102.64,31.41,76.13,30.53
2023-01-18 21:00:00,67.56,32.08,40.84,29.97
2023-01-18 22:00:00,71.45,18.44,58.99,34.13
2023-01-18 23:00:00,164.23,20.42,77.25,48.42
2023-01-19 00:00:00,142.73,20.71,55.79,45.41
2023-01-19 01:00:00,65.17,20.42,57.13,14.36
2023-01-19 02:00:00,62.62,32.11,63.14,20.64
2023-01-19 03:00:00,155.15,15.64,58.52,43.32
2023-01-19 04:00:00,60.91,16.52,46.74,42.97
2023-01-19 05:00:00,173.28,20.48,40.74,21.01
2023-01-19 06:00:00,155.94,19.0,64.39,39.22
2023-01-19 07:00:00,62.2,19.64,76.83,36.88
2023-01-19 08:00:00,62.73,30.96,44.25,28.94
2023-01-19 09:00:00,198.0,26.26,48.44,18.06
2023-01-19 10:00:00,106.14,15.12,54.81,45.55
2023-01-19 11:00:00,105.6,23.59,72.35,37.11
2023-01-19 12:00:00,171.92,23.16,50.77,16.76
2023-01-19 13:00:00,192.09,17.28,75.28,38.19
2023-01-19 14:00:00,197.9,28.52,42.2,39.66
2023-01-19 15:00:00,163.01,29.04,77.64,45.48
2023-01-19 16:00:00,106.44,29.42,62.43,18.91
2023-01-19 17:00:00,62.53,29.57,66.35,49.55
2023-01-19 18:00:00,166.57,15.0,54.71,16.14
2023-01-19 19:00:00,133.76,34.08,71.28,34.03
2023-01-19 20:00:00,113.63,31.28,46.66,36.29
2023-01-19 21:00:00,185.95,33.08,41.96,26.76
2023-01-19 22:00:00,66.68,15.31,55.82,29.0
2023-01-19 23:00:00,123.89,33.68,74.15,45.64
2023-01-20 00:00:00,51.7,31.2,70.2,35.81
2023-01-20 01:00:00,120.3,31.74,60.69,29.88
2023-01-20 02:00:00,58.45,16.87,62.89,15.13
2023-01-20 03:00:00,67.82,29.78,45.2,10.29
2023-01-20 04:00:00,67.63,34.2,73.63,15.0
2023-01-20 05:00:00,147.38,28.57,71.48,48.25
2023-01-20 06:00:00,161.91,26.41,66.26,40.56
2023-01-20 07:00:00,137.51,33.91,58.65,48.68
2023-01-20 08:00:00,194.33,23.86,78.58,11.43
2023-01-20 09:00:00,106.23,26.99,75.16,37.21
2023-01-20 10:00:00,92.86,24.53,65.78,11.77
2023-01-20 11:00:00,180.29,33.66,54.87,41.28
2023-01-20 12:00:00,83.54,16.52,64.72,25.24
2023-01-20 13:00:00,194.48,25.02,63.02,13.83
2023-01-20 14:00:00,51.82,28.74,55.77,32.72
2023-01-20 15:00:00,195.48,30.84,52.27,21.2
2023-01-20 16:00:00,56.47,26.66,56.28,36.38
2023-01-20 17:00:00,183.67,33.18,62.96,36.33
2023-01-20 18:00:00,129.16,33.84,57.13,38.2
2023-01-20 19:00:00,198.94,16.29,50.54,49.7
2023-01-20 20:00:00,61.07,23.05,70.44,25.47
2023-01-20 21:00:00,133.08,15.47,61.26,28.61
2023-01-20 22:00:00,195.4,21.59,42.71,42.18
