Fecha,Especie,Conteo,Ubicacion
2023-05-10,Ave C,10,Lago
2023-08-03,Pez A,36,Montaña
2023-06-21,Pez A,73,Rio
2023-09-15,Insecto D,46,Montaña
2023-04-12,Ave C,32,Rio
2023-07-28,Insecto D,32,Rio
2023-10-18,Ave C,6,Lago
2023-12-20,Planta E,48,Bosque
2023-10-13,Pez B,38,Lago
2023-04-26,Planta E,17,Montaña
2023-09-21,Ave C,74,Montaña
2023-05-30,Pez B,27,Rio
2023-10-27,Pez A,54,Rio
2023-02-05,Pez A,50,Bosque
2023-11-29,Insecto D,35,Lago
2023-10-14,Ave C,85,Montaña
2023-10-30,Ave C,25,Rio
2023-11-07,Pez A,28,Bosque
2023-07-27,Planta E,15,Montaña
2023-04-16,Pez B,4,Rio
2023-06-07,Planta E,93,Montaña
2023-05-01,Planta E,73,Bosque
2023-02-24,Pez A,27,Bosque
2023-01-12,Pez A,26,Montaña
2023-05-25,Pez A,19,Lago
2023-05-16,Insecto D,92,Montaña
2023-01-03,Planta E,17,Rio
2023-05-24,Ave C,43,Lago
2023-01-30,Pez B,41,Rio
2023-08-25,Insecto D,42,Montaña
2023-10-06,Ave C,50,Lago
2023-12-14,Planta E,84,Rio
2023-04-25,Pez A,40,Montaña
2023-04-14,Planta E,39,Montaña
2023-04-28,Pez B,23,Lago
2023-01-05,Insecto D,96,Montaña
2023-12-26,Insecto D,52,Bosque
2023-09-05,Pez B,47,Rio
2023-12-30,Ave C,63,Rio
2023-11-17,Ave C,97,Montaña
2023-05-01,Insecto D,69,Montaña
2023-10-13,Insecto D,43,Bosque
2023-05-29,Pez A,48,Lago
2023-03-25,Ave C,34,Montaña
2023-08-19,Pez B,40,Montaña
2023-10-15,Ave C,75,Montaña
2023-06-10,Pez A,61,Montaña
2023-09-29,Insecto D,50,Rio
2023-02-07,Insecto D,67,Montaña
2023-08-14,Pez A,62,Rio
2023-05-22,Pez B,58,Montaña
2023-10-19,Insecto D,33,Lago
2023-05-31,Planta E,75,Bosque
2023-04-24,Insecto D,16,Lago
2023-08-25,Planta E,82,Montaña
2023-03-07,Pez A,94,Montaña
2023-12-27,Pez A,48,Montaña
2023-12-07,Insecto D,10,Lago
2023-09-15,Ave C,82,Montaña
2023-09-06,Planta E,38,Lago
2023-11-27,Pez B,19,Rio
2023-11-19,Insecto D,36,Bosque
2023-06-29,Pez B,59,Bosque
2023-07-09,Insecto D,63,Lago
2023-06-03,Ave C,77,Rio
2023-07-15,Ave C,46,Lago
2023-11-07,Ave C,3,Rio
2023-09-19,Ave C,74,Montaña
2023-05-23,Pez A,65,Rio
2023-12-08,Pez A,91,Rio
2023-11-12,Planta E,8,Rio
2023-04-11,Pez B,51,Bosque
2023-09-01,Insecto D,81,Rio
2023-01-12,Insecto D,73,Montaña
2023-08-27,Pez A,6,Montaña
2023-02-18,Insecto D,89,Montaña
2023-02-11,Pez A,39,Rio
2023-06-15,Planta E,60,Lago
2023-03-23,Pez B,28,Lago
2023-10-18,Planta E,97,Montaña
2023-06-07,Ave C,54,Bosque
2023-08-04,Ave C,37,Lago
2023-06-07,Ave C,9,Rio
2023-05-14,Planta E,82,Lago
2023-03-08,Insecto D,56,Montaña
2023-12-02,Pez B,59,Bosque
2023-01-07,Ave C,85,Lago
2023-01-14,Ave C,2,Lago
2023-03-14,Ave C,61,Montaña
2023-06-12,Pez B,58,Bosque
2023-03-07,Ave C,60,Bosque
2023-12-13,Pez B,40,Montaña
2023-05-10,Ave C,36,Rio
2023-07-25,Planta E,37,Lago
2023-10-03,Planta E,79,Rio
2023-09-13,Pez B,92,Lago
2023-09-23,Planta E,18,Lago
2023-01-25,Pez B,98,Rio
2023-10-08,Planta E,63,Montaña
2023-09-10,Planta E,22,Montaña
2023-11-06,Pez B,11,Lago
2023-10-16,Insecto D,58,Montaña
2023-06-13,Planta E,57,Lago
2023-04-05,Ave C,77,Montaña
2023-09-27,Insecto D,4,Lago
2023-11-17,Pez B,86,Montaña
2023-04-20,Insecto D,7,Bosque
2023-12-02,Pez A,61,Rio
2023-11-06,Pez A,54,Bosque
2023-08-26,Planta E,88,Rio
2023-01-25,Planta E,68,Rio
2023-05-21,Ave C,92,Lago
2023-04-27,Insecto D,79,Rio
2023-01-25,Pez A,1,Bosque
2023-03-20,Planta E,55,Bosque
2023-03-09,Insecto D,3,Montaña
2023-06-22,Planta E,78,Bosque
2023-01-12,Planta E,38,Montaña
2023-10-15,Pez A,1,Rio
2023-05-08,Pez A,38,Bosque
2023-04-06,Planta E,85,Rio
2023-04-02,Pez B,29,Bosque
2023-05-21,Planta E,5,Bosque
2023-01-31,Planta E,74,Montaña
2023-11-30,Ave C,92,Rio
2023-01-20,Ave C,21,Bosque
2023-05-26,Ave C,71,Lago
2023-11-12,Pez B,67,Rio
2023-06-09,Pez B,47,Rio
2023-12-15,Planta E,84,Rio
2023-02-12,Ave C,83,Montaña
2023-09-11,Pez B,35,Lago
2023-05-10,Pez A,68,Rio
2023-03-01,Planta E,69,Bosque
2023-05-31,Insecto D,1,Bosque
2023-10-14,Planta E,68,Montaña
2023-01-05,Insecto D,12,Bosque
2023-09-23,Ave C,60,Rio
2023-12-11,Insecto D,27,Bosque
2023-05-10,Ave C,56,Rio
2023-09-24,Pez A,23,Bosque
2023-06-27,Insecto D,25,Lago
2023-09-10,Planta E,21,Montaña
2023-02-25,Ave C,61,Montaña
2023-03-24,Planta E,63,Lago
2023-04-09,Pez B,52,Lago
2023-05-29,Ave C,88,Montaña
2023-11-25,Insecto D,25,Lago
2023-06-05,Ave C,55,Rio
2023-07-09,Planta E,46,Bosque
2023-09-20,Pez A,32,Montaña
2023-03-21,Ave C,55,Lago
2023-09-09,Insecto D,96,Rio
2023-04-07,Pez B,5,Montaña
2023-09-17,Pez A,36,Lago
2023-09-17,Pez B,49,Montaña
2023-04-13,Ave C,58,Lago
2023-02-09,Planta E,39,Montaña
2023-09-30,Planta E,80,Rio
2023-04-11,Insecto D,97,Rio
2023-12-25,Planta E,85,Bosque
2023-11-04,Pez A,61,Montaña
2023-08-09,Planta E,9,Bosque
2023-11-04,Insecto D,6,Montaña
2023-05-04,Ave C,35,Lago
2023-08-19,Ave C,39,Lago
2023-06-27,Planta E,22,Bosque
2023-03-04,Pez B,41,Montaña
2023-04-26,Ave C,5,Bosque
2023-07-10,Planta E,42,Rio
2023-03-03,Insecto D,87,Bosque
2023-09-13,Planta E,81,Bosque
2023-01-07,Ave C,76,Lago
2023-06-04,Insecto D,87,Bosque
2023-04-02,Planta E,80,Montaña
2023-01-14,Pez A,67,Lago
2023-08-17,Insecto D,30,Bosque
2023-03-27,Pez A,57,Rio
2023-05-13,Pez B,86,Bosque
2023-07-02,Insecto D,73,Bosque
2023-03-03,Pez A,29,Bosque
2023-08-07,Ave C,37,Lago
2023-09-03,Ave C,87,Montaña
2023-08-18,Pez B,13,Rio
2023-03-20,Insecto D,32,Bosque
2023-05-29,Insecto D,46,Montaña
2023-05-18,Insecto D,23,Montaña
2023-11-10,Pez B,45,Lago
2023-03-06,Insecto D,17,Rio
2023-01-13,Ave C,85,Lago
2023-08-01,Pez A,66,Montaña
2023-08-30,Ave C,6,Montaña
2023-08-01,Ave C,18,Montaña
2023-06-30,Pez A,94,Lago
2023-12-04,Ave C,22,Rio
2023-06-22,Pez B,33,Bosque
2023-06-09,Pez A,30,Lago
2023-06-13,Ave C,81,Montaña
2023-07-07,Planta E,32,Lago
2023-07-10,Ave C,42,Montaña
2023-11-04,Pez B,78,Bosque
2023-09-13,Insecto D,10,Bosque
2023-07-02,Ave C,36,Rio
2023-04-27,Insecto D,34,Montaña
2023-10-09,Planta E,73,Rio
2023-07-15,Ave C,28,Rio
2023-02-03,Pez A,11,Bosque
2023-02-21,Insecto D,78,Lago
2023-04-22,Planta E,39,Lago
2023-09-09,Pez A,47,Rio
2023-03-23,Pez A,19,Bosque
2023-08-20,Pez A,15,Montaña
2023-08-15,Pez A,28,Lago
2023-08-21,Ave C,24,Rio
2023-08-09,Ave C,72,Lago
2023-02-11,Ave C,9,Lago
2023-01-21,Planta E,47,Montaña
2023-02-11,Planta E,33,Bosque
2023-04-23,Planta E,62,Montaña
2023-04-15,Pez B,97,Bosque
2023-07-11,Planta E,19,Lago
2023-01-17,Ave C,67,Rio
2023-04-30,Ave C,74,Montaña
2023-05-09,Pez B,40,Bosque
2023-05-10,Pez B,47,Lago
2023-03-01,Planta E,65,Bosque
2023-02-17,Insecto D,29,Bosque
2023-01-29,Pez B,50,Bosque
2023-04-07,Pez A,98,Lago
2023-01-10,Ave C,13,Rio
2023-08-30,Pez A,1,Rio
2023-11-10,Ave C,34,Rio
2023-08-20,Ave C,93,Bosque
2023-10-04,Pez B,48,Lago
2023-10-11,Pez B,77,Bosque
2023-07-22,Pez A,48,Rio
2023-09-04,Ave C,49,Rio
2023-10-17,Pez A,64,Lago
2023-09-21,Insecto D,61,Bosque
2023-08-02,Pez A,29,Montaña
2023-07-19,Planta E,39,Montaña
2023-03-20,Pez A,88,Rio
2023-12-09,Planta E,26,Lago
2023-12-10,Planta E,17,Bosque
2023-06-22,Planta E,71,Bosque
2023-03-10,Insecto D,13,Rio
2023-03-28,Pez A,69,Rio
2023-04-11,Pez A,26,Bosque
2023-01-08,Insecto D,49,Bosque
2023-11-29,Ave C,67,Rio
2023-07-19,Pez B,7,Bosque
2023-03-28,Pez A,58,Montaña
2023-02-12,Pez B,49,Rio
2023-04-19,Insecto D,53,Bosque
2023-06-01,Ave C,65,Rio
2023-01-17,Ave C,62,Lago
2023-05-13,Ave C,17,Rio
2023-05-28,Insecto D,43,Rio
2023-10-04,Planta E,25,Lago
2023-08-20,Planta E,3,Montaña
2023-11-10,Pez B,79,Bosque
2023-08-16,Planta E,29,Lago
2023-05-19,Planta E,32,Rio
2023-07-30,Ave C,26,Bosque
2023-01-28,Ave C,16,Lago
2023-02-20,Pez B,25,Bosque
2023-09-18,Pez A,54,Bosque
2023-09-18,Pez B,28,Lago
2023-12-16,Pez B,73,Bosque
2023-12-18,Insecto D,56,Montaña
2023-01-08,Insecto D,65,Lago
2023-11-16,Pez B,93,Montaña
2023-05-18,Pez B,86,Rio
2023-02-07,Pez B,80,Bosque
2023-04-21,Planta E,41,Rio
2023-08-08,Insecto D,51,Rio
2023-12-03,Pez B,71,Bosque
2023-08-11,Ave C,78,Lago
2023-05-16,Ave C,29,Bosque
2023-09-13,Planta E,83,Rio
2023-12-26,Planta E,19,Rio
2023-11-25,Pez A,66,Lago
2023-02-18,Pez A,41,Bosque
2023-10-19,Pez A,45,Rio
2023-11-20,Planta E,15,Montaña
2023-03-19,Planta E,3,Rio
2023-04-15,Planta E,11,Rio
2023-06-18,Ave C,53,Lago
2023-08-05,Planta E,46,Montaña
2023-04-29,Ave C,30,Rio
2023-07-09,Pez A,57,Rio
2023-09-12,Pez A,18,Montaña
2023-09-23,Pez A,51,Bosque
2023-05-29,Pez B,48,Bosque
2023-06-13,Pez B,66,Rio
2023-05-20,Insecto D,96,Rio
2023-12-13,Insecto D,8,Bosque
2023-09-15,Insecto D,22,Lago
2023-09-26,Pez B,6,Montaña
2023-06-30,Pez B,76,Montaña
2023-06-09,Insecto D,57,Lago
2023-12-17,Insecto D,36,Lago
2023-10-15,Planta E,79,Lago
2023-10-15,Insecto D,92,Lago
2023-08-14,Planta E,57,Lago
2023-01-11,Ave C,49,Lago
2023-01-10,Pez B,45,Montaña
2023-09-28,Insecto D,82,Lago
2023-09-30,Pez B,66,Bosque
2023-07-02,Pez B,77,Lago
2023-06-02,Pez B,45,Lago
2023-11-11,Ave C,79,Montaña
2023-11-30,Pez A,20,Montaña
2023-05-04,Insecto D,64,Lago
2023-04-24,Pez A,93,Montaña
2023-10-05,Pez A,93,Rio
2023-08-01,Pez A,67,Montaña
2023-06-21,Pez B,83,Montaña
2023-10-15,Planta E,3,Montaña
2023-06-23,Pez B,54,Montaña
2023-04-23,Pez B,78,Bosque
2023-05-02,Pez A,64,Bosque
2023-02-01,Pez B,40,Bosque
2023-08-10,Pez A,59,Lago
2023-04-29,Planta E,55,Lago
2023-02-08,Insecto D,62,Rio
2023-09-25,Pez A,4,Bosque
2023-08-21,Planta E,60,Lago
2023-01-18,Insecto D,75,Montaña
2023-05-29,Ave C,95,Montaña
2023-05-29,Pez A,96,Bosque
2023-05-06,Pez A,91,Rio
2023-10-29,Ave C,30,Rio
2023-12-26,Ave C,2,Montaña
2023-08-26,Pez A,62,Rio
2023-05-15,Ave C,49,Bosque
2023-05-31,Pez B,9,Montaña
2023-08-24,Insecto D,92,Lago
2023-08-12,Insecto D,31,Lago
2023-07-22,Insecto D,98,Rio
2023-09-13,Pez B,61,Montaña
2023-03-27,Ave C,79,Montaña
2023-05-30,Planta E,48,Lago
2023-08-23,Ave C,25,Montaña
2023-12-11,Pez A,36,Montaña
2023-01-22,Insecto D,8,Montaña
2023-12-14,Ave C,73,Rio
2023-10-12,Planta E,58,Montaña
2023-09-26,Pez A,45,Bosque
2023-09-15,Pez B,62,Rio
2023-01-29,Pez B,39,Montaña
2023-08-01,Planta E,96,Montaña
2023-10-10,Pez A,58,Bosque
2023-02-19,Insecto D,81,Rio
2023-04-05,Ave C,99,Lago
2023-03-29,Pez A,83,Lago
2023-02-13,Pez B,64,Rio
2023-10-05,Planta E,44,Montaña
2023-06-20,Planta E,29,Montaña
2023-07-08,Ave C,59,Lago
2023-12-19,Planta E,71,Lago
2023-07-03,Planta E,92,Lago
2023-01-03,Pez A,9,Bosque
2023-07-10,Insecto D,92,Lago
2023-04-28,Ave C,6,Bosque
2023-01-19,Pez A,29,Rio
2023-01-23,Insecto D,58,Montaña
2023-01-30,Pez A,17,Lago
2023-10-22,Pez A,16,Montaña
2023-04-18,Planta E,87,Montaña
2023-10-08,Insecto D,95,Lago
2023-05-08,Ave C,3,Lago
2023-08-17,Ave C,21,Rio
2023-04-21,Insecto D,64,Bosque
2023-05-16,Planta E,90,Bosque
2023-12-28,Pez B,36,Montaña
2023-07-05,Pez A,86,Lago
2023-05-24,Planta E,62,Rio
2023-03-13,Insecto D,42,Rio
2023-05-09,Pez A,76,Rio
2023-12-30,Ave C,42,Rio
2023-09-18,Pez B,61,Rio
2023-01-03,Ave C,13,Bosque
2023-04-14,Insecto D,11,Bosque
2023-08-12,Pez A,54,Bosque
2023-11-16,Insecto D,16,Lago
2023-12-28,Pez A,8,Montaña
2023-12-20,Planta E,59,Rio
2023-01-10,Pez B,57,Lago
2023-10-29,Planta E,40,Rio
2023-08-19,Planta E,59,Bosque
2023-08-07,Insecto D,2,Lago
2023-03-07,Pez B,94,Bosque
2023-04-22,Pez A,94,Rio
2023-01-13,Pez A,76,Rio
2023-03-27,Ave C,10,Montaña
2023-08-22,Pez A,44,Rio
2023-03-31,Insecto D,11,Bosque
2023-11-10,Planta E,79,Rio
2023-02-23,Planta E,80,Montaña
2023-01-12,Planta E,81,Montaña
2023-07-28,Pez B,90,Bosque
2023-01-14,Pez A,2,Lago
2023-05-01,Insecto D,50,Rio
2023-01-20,Pez B,12,Montaña
2023-03-16,Ave C,90,Rio
2023-08-31,Insecto D,23,Rio
2023-08-11,Insecto D,18,Lago
2023-03-11,Insecto D,62,Montaña
2023-11-08,Planta E,96,Rio
2023-07-30,Insecto D,62,Montaña
2023-04-11,Pez A,38,Bosque
2023-07-05,Insecto D,67,Bosque
2023-05-12,Planta E,38,Rio
2023-04-21,Insecto D,67,Montaña
2023-05-12,Ave C,94,Rio
2023-01-20,Ave C,61,Montaña
2023-01-24,Planta E,1,Montaña
2023-08-15,Pez A,94,Lago
2023-06-03,Pez A,45,Lago
2023-10-20,Pez B,96,Lago
2023-08-18,Planta E,28,Rio
2023-11-06,Insecto D,21,Lago
2023-12-25,Planta E,13,Lago
2023-07-21,Pez B,27,Bosque
2023-02-07,Planta E,7,Montaña
2023-09-17,Planta E,22,Montaña
2023-07-07,Pez B,74,Lago
2023-02-26,Pez A,53,Montaña
2023-01-20,Insecto D,79,Bosque
2023-09-30,Pez B,79,Bosque
2023-04-29,Ave C,4,Lago
2023-03-12,Pez A,96,Bosque
2023-01-04,Ave C,23,Montaña
2023-08-09,Pez A,70,Rio
2023-01-14,Insecto D,88,Montaña
2023-01-03,Insecto D,84,Rio
2023-08-04,Planta E,84,Lago
2023-08-17,Ave C,76,Rio
2023-12-02,Pez A,33,Bosque
2023-07-05,Insecto D,28,Montaña
2023-02-24,Pez B,8,Rio
2023-09-11,Insecto D,1,Montaña
2023-01-24,Pez B,37,Lago
2023-06-11,Pez A,63,Lago
2023-06-07,Insecto D,22,Bosque
2023-03-23,Insecto D,70,Lago
2023-06-08,Pez A,21,Rio
2023-07-07,Insecto D,96,Lago
2023-03-01,Pez B,35,Bosque
2023-11-01,Insecto D,79,Montaña
2023-11-15,Ave C,5,Montaña
2023-07-30,Planta E,60,Lago
2023-06-01,Pez B,46,Rio
2023-04-19,Ave C,50,Bosque
2023-03-17,Pez A,48,Rio
2023-01-30,Pez B,6,Bosque
2023-11-10,Planta E,89,Lago
2023-04-27,Planta E,56,Bosque
2023-12-22,Pez A,59,Bosque
2023-07-11,Pez A,29,Lago
2023-01-19,Pez B,71,Rio
2023-06-22,Insecto D,77,Lago
2023-08-16,Pez A,18,Bosque
2023-12-16,Insecto D,2,Lago
2023-07-02,Ave C,8,Bosque
2023-04-23,Planta E,75,Lago
2023-07-02,Insecto D,97,Montaña
2023-05-26,Planta E,54,Montaña
2023-11-15,Insecto D,38,Lago
2023-04-26,Ave C,48,Rio
2023-04-23,Pez A,27,Bosque
2023-09-08,Ave C,20,Montaña
2023-09-08,Pez A,12,Rio
2023-10-30,Pez A,43,Bosque
2023-11-09,Planta E,61,Montaña
2023-04-28,Ave C,31,Montaña
2023-10-28,Insecto D,91,Lago
2023-06-10,Ave C,96,Bosque
2023-07-17,Planta E,61,Rio
2023-09-17,Pez A,74,Rio
2023-05-28,Planta E,67,Rio
2023-08-28,Pez B,91,Bosque
2023-02-16,Pez B,35,Rio
2023-07-17,Insecto D,95,Rio
2023-02-16,Planta E,15,Rio
2023-03-19,Insecto D,16,Lago
2023-05-04,Insecto D,13,Lago
2023-03-16,Pez B,35,Bosque
2023-12-25,Insecto D,75,Bosque
2023-05-17,Pez B,59,Rio
2023-03-31,Pez A,21,Lago
2023-11-21,Planta E,54,Montaña
2023-03-02,Insecto D,75,Montaña
2023-05-18,Pez B,30,Rio
2023-02-19,Ave C,48,Rio
2023-09-16,Insecto D,35,Lago
2023-04-17,Pez A,86,Lago
2023-04-23,Pez A,38,Lago
2023-12-16,Ave C,31,Bosque
2023-09-11,Pez B,78,Bosque
2023-04-28,Insecto D,24,Rio
2023-07-17,Pez B,49,Bosque
2023-12-03,Pez A,96,Lago
2023-12-31,Pez B,32,Lago
2023-02-20,Pez A,55,Bosque
2023-09-02,Pez B,79,Montaña
2023-02-04,Ave C,58,Rio
2023-10-29,Planta E,99,Montaña
2023-03-10,Ave C,3,Rio
2023-12-15,Ave C,80,Montaña
2023-11-16,Planta E,69,Bosque
2023-02-18,Planta E,85,Rio
2023-03-15,Insecto D,10,Rio
2023-07-11,Insecto D,83,Rio
2023-09-18,Ave C,25,Lago
2023-12-22,Ave C,68,Lago
2023-03-11,Pez A,61,Montaña
2023-03-31,Pez A,29,Bosque
2023-09-17,Insecto D,19,Lago
2023-05-06,Insecto D,43,Rio
2023-08-19,Pez A,66,Lago
2023-10-22,Pez A,74,Bosque
2023-05-09,Pez B,61,Lago
2023-10-07,Pez B,43,Rio
